ticker,year,actual_esg,predicted_esg,discrepancy,risk_score,risk_level
SYY,2022,12.13,25.31709,13.187089080810546,1.0,High Risk
KMX,2019,13.45,22.029905,8.579905319213868,0.8462539042040094,High Risk
APD,2020,11.64,20.079859,8.439858779907226,0.8415804182389794,High Risk
GPC,2023,13.14,21.440517,8.300517425537109,0.8369304649647245,High Risk
ACN,2020,13.32,21.4969,8.17690055847168,0.8328052527593283,High Risk
GPC,2021,12.75,20.44635,7.69635009765625,0.8167688276878586,High Risk
FITB,2022,18.73,26.025513,7.2955126953125,0.8033925030504406,High Risk
EQR,2022,11.05,17.969482,6.919482421874999,0.790844015854419,High Risk
AMZN,2019,33.69,26.055399,-7.634601058959959,0.3051604336801724,High Risk
SYK,2021,33.72,25.23469,-8.485310287475585,0.27677145913304724,High Risk
MPC,2018,37.36,28.465448,-8.894551620483398,0.2631146873513867,High Risk
ATO,2019,38.35,28.549833,-9.80016670227051,0.2328934523576079,High Risk
PNR,2021,31.88,21.715729,-10.164271240234374,0.22074293827562852,High Risk
EIX,2019,38.87,27.827274,-11.042725677490232,0.1914280797738817,High Risk
ALB,2021,36.83,25.466177,-11.363823013305662,0.18071275685500438,High Risk
MPC,2019,38.11,26.674877,-11.435122833251953,0.17833341417736387,High Risk
ADM,2021,34.25,22.715546,-11.534454345703125,0.1750186273099119,High Risk
NUE,2021,36.75,19.970905,-16.779094696044922,0.0,High Risk
